name,version,license,repository,source,note
"retry-request","7.0.2","MIT","stephenplusplus/retry-request","on-disk",""
"rimraf","2.7.1","ISC","git://github.com/isaacs/rimraf","on-disk",""
"rxjs","6.3.3","Apache-2.0","https://github.com/reactivex/rxjs","bundled",""
"safe-buffer","5.1.2","MIT","git://github.com/feross/safe-buffer","on-disk",""
"safe-stable-stringify","2.5.0","MIT","https://github.com/BridgeAR/safe-stable-stringify","on-disk",""
"safer-buffer","2.1.2","MIT","https://github.com/ChALkeR/safer-buffer","on-disk",""
"sax","1.2.4","ISC","git://github.com/isaacs/sax-js","on-disk",""
"scheduler","0.20.2","MIT","https://github.com/facebook/react","bundled",""
"sec","1.0.0","MIT","sindresorhus/sec","on-disk",""
"semver","7.5.4","ISC","https://github.com/npm/node-semver","on-disk",""
"serve-handler","5.0.7","MIT","zeit/serve-handler","bundled",""
"sharp","0.33.5","Apache-2.0","git://github.com/lovell/sharp","on-disk",""
"shebang-command","2.0.0","MIT","kevva/shebang-command","bundled",""
"shebang-regex","3.0.0","MIT","sindresorhus/shebang-regex","bundled",""
"signal-exit","3.0.3","ISC","https://github.com/tapjs/signal-exit","bundled",""
"simple-concat","1.0.1","MIT","git://github.com/feross/simple-concat","on-disk",""
"simple-get","4.0.1","MIT","git://github.com/feross/simple-get","on-disk",""
"simple-swizzle","0.2.2","MIT","qix-/node-simple-swizzle","on-disk",""
"slap","0.1.83","MIT","","bundled",""
"smart-buffer","4.2.0","MIT","https://github.com/JoshGlazebrook/smart-buffer","on-disk",""
"socket.io-client","2.3.1","MIT","https://github.com/Automattic/socket.io-client","on-disk",""
"socket.io-parser","3.3.4","MIT","https://github.com/Automattic/socket.io-parser","on-disk",""
"sockjs","0.3.20","MIT","https://github.com/sockjs/sockjs-node","bundled",""
"socks","2.8.7","MIT","https://github.com/JoshGlazebrook/socks","on-disk",""
"socks-proxy-agent","8.0.5","MIT","https://github.com/TooTallNate/proxy-agents","on-disk",""
"sortablejs","1.13.0","MIT","git://github.com/SortableJS/Sortable","bundled",""
"split2","2.2.0","ISC","https://github.com/mcollina/split2","on-disk",""
"ssri","13.0.1","ISC","https://github.com/npm/ssri","on-disk",""
"stack-trace","0.0.10","MIT","git://github.com/felixge/node-stack-trace","on-disk",""
"stream-events","1.0.5","MIT","https://github.com/stephenplusplus/stream-events","on-disk",""
"stream-shift","1.0.3","MIT","https://github.com/mafintosh/stream-shift","on-disk",""
"streamlabs-beaker","0.9.4","UNLICENSED (first-party)","","bundled","First-party Streamlabs package (maintained @streamlabs.com); no OSS license declared — confirm internally"
"string_decoder","1.1.1","MIT","git://github.com/nodejs/string_decoder","on-disk",""
"string-width","4.2.3","MIT","sindresorhus/string-width","on-disk",""
"strip-ansi","6.0.1","MIT","chalk/strip-ansi","on-disk",""
"strip-final-newline","2.0.0","MIT","sindresorhus/strip-final-newline","bundled",""
"strip-json-comments","2.0.1","MIT","sindresorhus/strip-json-comments","on-disk",""
"stubs","3.0.0","MIT","https://github.com/stephenplusplus/stubs","on-disk",""
"style-loader","2.0.0","MIT","webpack-contrib/style-loader","bundled",""
"tar","7.5.13","BlueOak-1.0.0","https://github.com/isaacs/node-tar","on-disk",""
"tar-fs","2.1.4","MIT","https://github.com/mafintosh/tar-fs","on-disk",""
"tar-stream","2.2.0","MIT","https://github.com/mafintosh/tar-stream","on-disk",""
"tasklist","3.1.1","MIT","sindresorhus/tasklist","on-disk",""
"teeny-request","9.0.0","Apache-2.0","googleapis/teeny-request","on-disk",""
"text-hex","1.0.0","MIT","https://github.com/3rd-Eden/text-hex","on-disk",""
"through2","2.0.5","MIT","https://github.com/rvagg/through2","on-disk",""
"timed-out","4.0.1","MIT","floatdrop/timed-out","on-disk",""
"tiny-invariant","1.1.0","MIT","https://github.com/alexreardon/tiny-invariant","bundled",""
"tinyglobby","0.2.15","MIT","https://github.com/SuperchupuDev/tinyglobby","on-disk",""
"to-array","0.1.4","MIT","git://github.com/Raynos/to-array","on-disk",""
"tr46","0.0.3","MIT","https://github.com/Sebmaster/tr46.js","on-disk",""
"traverse","0.6.6","MIT","git://github.com/substack/js-traverse","bundled",""
"tree-kill","1.2.2","MIT","git://github.com/pkrumins/node-tree-kill","bundled",""
"triple-beam","1.4.1","MIT","https://github.com/winstonjs/triple-beam","on-disk",""
"tslib","1.11.1","Apache-2.0","https://github.com/Microsoft/tslib","bundled",""
"tunnel-agent","0.6.0","Apache-2.0","https://github.com/mikeal/tunnel-agent","on-disk",""
"typedarray","0.0.6","MIT","git://github.com/substack/typedarray","on-disk",""
"universalify","1.0.0","MIT","https://github.com/RyanZim/universalify","on-disk",""
"urijs","1.19.11","MIT","https://github.com/medialize/URI.js","bundled",""
"url","0.10.3","MIT","https://github.com/defunctzombie/node-url","on-disk",""
"use-sync-external-store","1.2.0","MIT","https://github.com/facebook/react","bundled",""
"util","0.12.5","MIT","git://github.com/browserify/node-util","on-disk",""
"util-deprecate","1.0.2","MIT","git://github.com/TooTallNate/util-deprecate","on-disk",""
"uuid","3.4.0","MIT","https://github.com/uuidjs/uuid","on-disk+bundled",""
"v-tooltip","2.1.3","MIT","https://github.com/Akryum/vue-tooltip","bundled",""
"vee-validate","2.2.0","MIT","https://github.com/baianat/vee-validate","bundled",""
"vue","2.6.9","MIT","https://github.com/vuejs/vue","bundled",""
"vue-class-component","6.2.0","MIT","https://github.com/vuejs/vue-class-component","bundled",""
"vue-color","2.7.0","MIT","https://github.com/xiaokaike/vue-color","bundled",""
"vue-i18n","7.6.0","MIT","https://github.com/kazupon/vue-i18n","bundled",""
"vue-js-modal","1.3.28","MIT","https://github.com/euvl/vue-js-modal","bundled",""
"vue-loader","15.10.2","MIT","https://github.com/vuejs/vue-loader","bundled",""
"vue-multiselect","2.1.6","MIT","https://github.com/shentao/vue-multiselect","bundled",""
"vue-property-decorator","7.3.0","MIT","https://github.com/kaorun343/vue-property-decorator","bundled",""
"vue-resize","0.4.4","MIT","https://github.com/Akryum/vue-resize","bundled",""
"vue-style-loader","4.1.3","MIT","git@github.com:vuejs/vue-style-loader","bundled",""
"vue-toasted","1.1.24","MIT","https://github.com/shakee93/vue-toasted","bundled","LICENSE file is MIT; no package.json field"
"vue-tsx-support","2.3.3","MIT","https://github.com/wonderful-panda/vue-tsx-support","bundled",""
"vuedraggable","2.24.3","MIT","https://github.com/SortableJS/Vue.Draggable","bundled",""
"vuejs-datepicker","1.6.2","MIT","https://github.com/charliekassel/vuejs-datepicker","on-disk+bundled",""
"vuex","3.0.1","MIT","https://github.com/vuejs/vuex","bundled",""
"web-streams-polyfill","4.0.0-beta.3","MIT","https://github.com/MattiasBuelens/web-streams-polyfill","on-disk",""
"webidl-conversions","3.0.1","BSD-2-Clause","jsdom/webidl-conversions","on-disk",""
"websocket-driver","0.7.0","MIT","git://github.com/faye/websocket-driver-node","bundled",""
"websocket-extensions","0.1.4","Apache-2.0","git://github.com/faye/websocket-extensions-node","bundled",""
"whatwg-url","5.0.0","MIT","jsdom/whatwg-url","on-disk",""
"which","6.0.1","ISC","https://github.com/npm/node-which","on-disk+bundled",""
"which-typed-array","1.1.11","MIT","git://github.com/inspect-js/which-typed-array","on-disk",""
"winston","3.16.0","MIT","https://github.com/winstonjs/winston","on-disk",""
"winston-transport","4.8.0","MIT","git@github.com:winstonjs/winston-transport","on-disk",""
"wrap-ansi","7.0.0","MIT","chalk/wrap-ansi","on-disk",""
"wrappy","1.0.2","ISC","https://github.com/npm/wrappy","on-disk",""
"ws","6.2.2","MIT","websockets/ws","on-disk",""
"xml2js","0.5.0","MIT","https://github.com/Leonidas-from-XIV/node-xml2js","on-disk",""
"xmlbuilder","11.0.1","MIT","git://github.com/oozcitak/xmlbuilder-js","on-disk",""
"xmlhttprequest-ssl","1.6.2","MIT","git://github.com/mjwwit/node-XMLHttpRequest","on-disk",""
"xtend","4.0.1","MIT","git://github.com/Raynos/xtend","on-disk",""
"y18n","5.0.8","ISC","yargs/y18n","on-disk",""
"yallist","5.0.0","BlueOak-1.0.0","https://github.com/isaacs/yallist","on-disk",""
"yargs","17.7.2","MIT","https://github.com/yargs/yargs","on-disk",""
"yargs-parser","21.1.1","ISC","https://github.com/yargs/yargs-parser","on-disk",""
"yauzl","2.4.1","MIT","https://github.com/thejoshwolfe/yauzl","on-disk",""
"yeast","0.1.2","MIT","https://github.com/unshiftio/yeast","on-disk",""
"zip-stream","1.2.0","MIT","https://github.com/archiverjs/node-zip-stream","on-disk",""
"zustand","4.4.1","MIT","https://github.com/pmndrs/zustand","bundled",""
